# ========
# captured on: Mon Jul 15 18:25:22 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match drawpointsdash --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 302, 303, 304, 305, 306, 307, 308, 309 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 10K of event 'cycles'
# Event count (approx.): 8822239113
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.05%    bench  bench                    [.] GrDrawState::operator=(GrDrawState const&)                                                                                                                                                                                                                                                                                                                                                                           
     0.05%    bench  bench                    [.] QuadEdgeEffect::getFactory() const                                                                                                                                                                                                                                                                                                                                                                                   
     0.05%    bench  libdricore.so            [.] _ae_invalidate_state                                                                                                                                                                                                                                                                                                                                                                                                 
     0.05%    bench  libgallium.so            [.] st_get_fp_variant                                                                                                                                                                                                                                                                                                                                                                                                    
     0.05%    bench  libglapi.so.0.0.0        [.] 0x000000000000c120                                                                                                                                                                                                                                                                                                                                                                                                   
     0.05%    bench  bench                    [.] SkGpuDevice::drawPath(SkDraw const&, SkPath const&, SkPaint const&, SkMatrix const*, bool)                                                                                                                                                                                                                                                                                                                           
     0.04%    bench  bench                    [.] GrPathRendererChain::getPathRenderer(SkPath const&, SkStrokeRec const&, GrDrawTarget const*, GrPathRendererChain::DrawType, GrPathRendererChain::StencilSupport*)                                                                                                                                                                                                                                                    
     0.04%    bench  libgallium.so            [.] cso_set_vertex_elements                                                                                                                                                                                                                                                                                                                                                                                              
     0.04%    bench  libGL.so.1.2             [.] glDrawArraysEXT                                                                                                                                                                                                                                                                                                                                                                                                      
     0.04%    bench  bench                    [.] GrGpuGL::flushAAState(GrGpu::DrawType)                                                                                                                                                                                                                                                                                                                                                                               
     0.04%    bench  nouveau_dri.so           [.] nv50_vertprog_validate                                                                                                                                                                                                                                                                                                                                                                                               
     0.04%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_bo_ref                                                                                                                                                                                                                                                                                                                                                                                                       
     0.04%    bench  libstdc++.so.6.0.16      [.] operator new(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                          
     0.04%    bench  libdricore.so            [.] _mesa_lock_context_textures                                                                                                                                                                                                                                                                                                                                                                                          
     0.04%    bench  bench                    [.] SkPoint::Length(float, float)                                                                                                                                                                                                                                                                                                                                                                                        
     0.04%    bench  bench                    [.] GrGLVertexBuffer::isLocked() const                                                                                                                                                                                                                                                                                                                                                                                   
     0.04%    bench  libgallium.so            [.] cso_construct_key                                                                                                                                                                                                                                                                                                                                                                                                    
     0.04%    bench  libdricore.so            [.] _mesa_sizeof_type                                                                                                                                                                                                                                                                                                                                                                                                    
     0.04%    bench  bench                    [.] GrDrawTarget::drawIndexed(GrPrimitiveType, int, int, int, int, SkRect const*)                                                                                                                                                                                                                                                                                                                                        
     0.04%    bench  libdricore.so            [.] vbo_exec_invalidate_state                                                                                                                                                                                                                                                                                                                                                                                            
     0.04%    bench  bench                    [.] SkPath::lineTo(float, float)                                                                                                                                                                                                                                                                                                                                                                                         
     0.04%    bench  bench                    [.] GrGLVertexBuffer::GrGLVertexBuffer(GrGpuGL*, GrGLBufferImpl::Desc const&)                                                                                                                                                                                                                                                                                                                                            
