# ========
# captured on: Mon Jul 15 17:53:51 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match rrects_1_stroke_4 --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 158, 159, 160, 161, 162, 163, 164, 165 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1706269220
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................
#
     0.05%    bench  bench                    [.] SkScanClipper::SkScanClipper(SkBlitter*, SkRegion const*, SkIRect const&, bool)                                                                                                                                                                      
     0.05%    bench  bench                    [.] GrDrawState::srcAlphaWillBeOne() const                                                                                                                                                                                                               
     0.05%    bench  libdricore.so            [.] _mesa_ActiveTextureARB                                                                                                                                                                                                                               
     0.05%    bench  bench                    [.] GrInOrderDrawBuffer::onDrawRect(SkRect const&, SkMatrix const*, SkRect const*, SkMatrix const*)                                                                                                                                                      
     0.05%    bench  libglsl.so               [.] glsl_strtod                                                                                                                                                                                                                                          
     0.05%    bench  libdricore.so            [.] _mesa_BindTexture                                                                                                                                                                                                                                    
     0.05%    bench  bench                    [.] SkRTree::insert(void*, SkIRect const&, bool)                                                                                                                                                                                                         
     0.05%    bench  libc-2.15.so             [.] free                                                                                                                                                                                                                                                 
     0.05%    bench  bench                    [.] SkEdgeClipper::clipCubic(SkPoint const*, SkRect const&)                                                                                                                                                                                              
     0.05%    bench  bench                    [.] SkPath::addRoundRect(SkRect const&, float, float, SkPath::Direction)                                                                                                                                                                                 
     0.05%    bench  bench                    [.] GrContext::getQuadIndexBuffer() const                                                                                                                                                                                                                
     0.05%    bench  bench                    [.] SkPixelRef::unlockPixels()                                                                                                                                                                                                                           
     0.05%    bench  bench                    [.] SkPixelRef::SkPixelRef(SkBaseMutex*)                                                                                                                                                                                                                 
     0.05%    bench  bench                    [.] SkStroke::SkStroke()                                                                                                                                                                                                                                 
     0.05%    bench  nouveau_dri.so           [.] nv50_state_validate                                                                                                                                                                                                                                  
     0.05%    bench  libglsl.so               [.] ir_dereference_variable::accept(ir_hierarchical_visitor*)                                                                                                                                                                                            
     0.05%    bench  libgallium.so            [.] st_validate_state                                                                                                                                                                                                                                    
     0.05%    bench  bench                    [.] SkCanvas::canvasForDrawIter()                                                                                                                                                                                                                        
     0.05%    bench  bench                    [.] GrInOrderDrawBuffer::reset()                                                                                                                                                                                                                         
     0.05%    bench  bench                    [.] GrMemoryPool::allocate(unsigned long)                                                                                                                                                                                                                
     0.05%    bench  bench                    [.] GrGpuGL::flushBlend(bool, GrBlendCoeff, GrBlendCoeff)                                                                                                                                                                                                
     0.05%    bench  bench                    [.] GrDrawState::setFromPaint(GrPaint const&, SkMatrix const&, GrRenderTarget*)                                                                                                                                                                          
     0.05%    bench  bench                    [.] SkPaint::~SkPaint()                                                                                                                                                                                                                                  
     0.05%    bench  bench                    [.] SkChopCubicAtHalf(SkPoint const*, SkPoint*)                                                                                                                                                                                                          
     0.05%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_bo_unmap                                                                                                                                                                                                                                     
     0.05%    bench  bench                    [.] sk_fill_path(SkPath const&, SkIRect const*, SkBlitter*, int, int, int, SkRegion const&)                                                                                                                                                              
